2022-05-19 10:05:955 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-19 10:05:232 INFO  HomePage :29 - Mouse Hover to Buy+Sell Tab [[ChromeDriver: chrome on WINDOWS (37e9547a207a17f4dc55d20b62385b88)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-19 10:05:400 INFO  HomePage :34 - Click on Search Cars [[ChromeDriver: chrome on WINDOWS (37e9547a207a17f4dc55d20b62385b88)] -> xpath: //a[contains(text(),'Search Cars')]]
2022-05-19 10:05:903 INFO  NewAndUsedCarSearchPage :39 - Getting a Page Header for Verification : [[ChromeDriver: chrome on WINDOWS (37e9547a207a17f4dc55d20b62385b88)] -> xpath: //div[@class='heading main-heading item-ad-wrapper ']/h1]
2022-05-19 10:05:272 INFO  NewAndUsedCarSearchPage :45 - Click on Car Make : [[ChromeDriver: chrome on WINDOWS (37e9547a207a17f4dc55d20b62385b88)] -> xpath: //select[@id='makes']]
2022-05-19 10:05:407 INFO  NewAndUsedCarSearchPage :50 - Click on Car Model : [[ChromeDriver: chrome on WINDOWS (37e9547a207a17f4dc55d20b62385b88)] -> xpath: //select[@id='models']]
2022-05-19 10:05:551 INFO  NewAndUsedCarSearchPage :55 - Click on Location : [[ChromeDriver: chrome on WINDOWS (37e9547a207a17f4dc55d20b62385b88)] -> xpath: //select[@id='locations']]
2022-05-19 10:05:787 INFO  NewAndUsedCarSearchPage :60 - Click on Price : [[ChromeDriver: chrome on WINDOWS (37e9547a207a17f4dc55d20b62385b88)] -> xpath: //select[@id='priceTo']]
2022-05-19 10:05:464 INFO  NewAndUsedCarSearchPage :65 - Click on find my next Car Button : [[ChromeDriver: chrome on WINDOWS (37e9547a207a17f4dc55d20b62385b88)] -> xpath: //input[@id='search-submit']]
2022-05-19 10:05:488 INFO  SearchResultPage :24 - Getting a Result for Verification : [[ChromeDriver: chrome on WINDOWS (37e9547a207a17f4dc55d20b62385b88)] -> xpath: //h1[@class='listing-search-title']]
2022-05-19 10:05:386 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-19 10:05:787 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-19 10:05:110 INFO  HomePage :29 - Mouse Hover to Buy+Sell Tab [[ChromeDriver: chrome on WINDOWS (ed0485faed710219d079c64226ed71f9)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-19 10:05:369 INFO  HomePage :34 - Click on Search Cars [[ChromeDriver: chrome on WINDOWS (ed0485faed710219d079c64226ed71f9)] -> xpath: //a[contains(text(),'Search Cars')]]
2022-05-19 10:05:116 INFO  NewAndUsedCarSearchPage :39 - Getting a Page Header for Verification : [[ChromeDriver: chrome on WINDOWS (ed0485faed710219d079c64226ed71f9)] -> xpath: //div[@class='heading main-heading item-ad-wrapper ']/h1]
2022-05-19 10:05:241 INFO  NewAndUsedCarSearchPage :45 - Click on Car Make : [[ChromeDriver: chrome on WINDOWS (ed0485faed710219d079c64226ed71f9)] -> xpath: //select[@id='makes']]
2022-05-19 10:05:375 INFO  NewAndUsedCarSearchPage :50 - Click on Car Model : [[ChromeDriver: chrome on WINDOWS (ed0485faed710219d079c64226ed71f9)] -> xpath: //select[@id='models']]
2022-05-19 10:05:480 INFO  NewAndUsedCarSearchPage :55 - Click on Location : [[ChromeDriver: chrome on WINDOWS (ed0485faed710219d079c64226ed71f9)] -> xpath: //select[@id='locations']]
